Model,Category,Total,Matched,Agreement_Percent
DS32_Category_ID,F,122,105,86.0655737704918
DS32_Category_ID,M,12,9,75.0
DS32_Category_ID,P,377,357,94.6949602122016
DS32_Category_ID,R,33,26,78.78787878787878
DS32_Category_ID,C,32,24,75.0
DS32_Category_ID,A,449,443,98.66369710467706
DS32_Category_ID,N,175,137,78.28571428571428
GPT5_Category_ID,F,122,96,78.68852459016394
GPT5_Category_ID,M,12,12,100.0
GPT5_Category_ID,P,377,347,92.04244031830238
GPT5_Category_ID,R,33,18,54.54545454545454
GPT5_Category_ID,C,32,20,62.5
GPT5_Category_ID,A,449,442,98.44097995545657
GPT5_Category_ID,N,175,145,82.85714285714286
MIL3_Category_ID,F,122,111,90.98360655737704
MIL3_Category_ID,M,12,7,58.333333333333336
MIL3_Category_ID,P,377,353,93.63395225464191
MIL3_Category_ID,R,33,26,78.78787878787878
MIL3_Category_ID,C,32,25,78.125
MIL3_Category_ID,A,449,444,98.88641425389754
MIL3_Category_ID,N,175,135,77.14285714285715
Majority_Category_ID,F,122,106,86.88524590163934
Majority_Category_ID,M,12,12,100.0
Majority_Category_ID,P,377,360,95.49071618037135
Majority_Category_ID,R,33,26,78.78787878787878
Majority_Category_ID,C,32,23,71.875
Majority_Category_ID,A,449,442,98.44097995545657
Majority_Category_ID,N,175,136,77.71428571428571
